"","name","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V2","The Shawshank Redemption",-0.196261682242991,-0.465116279069767,-0.439024390243902,-0.142857142857143,-0.324324324324324,-0.16504854368932,-0.407407407407407,0.0704225352112676,-0.0864197530864197,-0.113636363636364,0.0681818181818182,0.012987012987013,-0.0425531914893617,-0.215686274509804,-0.120879120879121,-0.204301075268817,-0.348837209302326,-0.111111111111111,-0.189189189189189,-0.229166666666667
"V3","The Godfather",0.0833333333333333,0.448275862068966,0.159420289855072,0.0638297872340425,-0.0277777777777778,-0.0126582278481013,-0.195121951219512,0.153846153846154,-0.166666666666667,-0.0731707317073171,-0.304347826086957,-0.267605633802817,-0.5,-0.101123595505618,0.1875,0.111111111111111,0.138888888888889,0.123287671232877,0.181818181818182,-0.0882352941176471
"V4","The Godfather: Part II",-0.183098591549296,0.281553398058252,0.154929577464789,0.15,-0.0126582278481013,0.346534653465347,-0.0188679245283019,0.113924050632911,0.0909090909090909,0,0.5,-0.176470588235294,-0.0769230769230769,-0.192307692307692,-0.0888888888888889,0.142857142857143,0,-0.146067415730337,0,0.0882352941176471
"V5","Schindler's List",-0.230769230769231,0.0344827586206897,-0.204545454545455,0.139240506329114,-0.159663865546218,0,0.0909090909090909,0,0.0625,-0.278688524590164,-0.159663865546218,-0.379310344827586,-0.288461538461538,-0.211267605633803,-0.416666666666667,-0.209876543209877,-0.233333333333333,-0.27906976744186,-0.348837209302326,-0.0769230769230769
"V6","Pulp Fiction",0.024390243902439,-0.0357142857142857,0.0975609756097561,-0.161290322580645,-0.272727272727273,-0.0561797752808989,0.176470588235294,-0.194029850746269,-0.232876712328767,-0.253731343283582,0.194805194805195,-0.142857142857143,-0.257142857142857,-0.0793650793650794,-0.242105263157895,-0.227272727272727,0.120879120879121,0,-0.0989010989010989,-0.262295081967213
"V7","The Lord of the Rings: The Return of the King",-0.0843373493975904,-0.0297029702970297,-0.126760563380282,-0.35593220338983,-0.413333333333333,-0.333333333333333,-0.513513513513513,-0.448275862068966,-0.211267605633803,-0.406593406593407,-0.509433962264151,-0.690721649484536,-0.405405405405405,-0.283582089552239,-0.431818181818182,-0.431578947368421,-0.420289855072464,-0.581395348837209,-0.128205128205128,0.123287671232877
"V8","Forrest Gump",0.155555555555556,0.333333333333333,-0.0384615384615385,-0.027027027027027,-0.235294117647059,0.454545454545455,0,0.155555555555556,0.102040816326531,-0.346153846153846,0.0769230769230769,-0.259259259259259,0.258064516129032,-0.168831168831169,0.176470588235294,0.111111111111111,0.294117647058824,0.263157894736842,0.276595744680851,0.384615384615385
"V9","The Lord of the Rings: The Fellowship of the Ring",-0.348837209302326,0.303030303030303,0.0909090909090909,-0.12280701754386,-0.368421052631579,-0.111111111111111,-0.131578947368421,-0.230769230769231,-0.0985915492957746,-0.47945205479452,-0.102040816326531,-0.245283018867925,-0.104477611940299,-0.411764705882353,-0.4,-0.282051282051282,-0.256410256410256,-0.205882352941176,-0.422222222222222,-0.290322580645161
"V10","Fight Club",-0.0684931506849315,-0.142857142857143,-0.343283582089552,-0.303030303030303,-0.142857142857143,-0.21875,-0.2,-0.238095238095238,-0.234042553191489,-0.470588235294118,-0.0561797752808989,-0.368421052631579,-0.169811320754717,-0.324324324324324,-0.0740740740740741,-0.529411764705882,-0.230769230769231,-0.243243243243243,-0.518518518518518,-0.378378378378378
"V11","Inception",0.245901639344262,-0.566666666666667,-0.127272727272727,0.148148148148148,-0.0769230769230769,-0.142857142857143,0,-0.0714285714285714,0.0943396226415094,0.027027027027027,-0.227272727272727,-0.333333333333333,0.0163934426229508,0.027027027027027,-0.137254901960784,-0.297297297297297,-0.470588235294118,-0.238095238095238,-0.4,-0.307692307692308
"V12","One Flew Over the Cuckoo's Nest",-0.178571428571429,-0.103448275862069,0.111111111111111,-0.0625,-0.446153846153846,0.0666666666666667,0.2,-0.0967741935483871,-0.276595744680851,0.155555555555556,-0.130434782608696,-0.142857142857143,0.037037037037037,0.169811320754717,0.117647058823529,0.162790697674419,-0.26027397260274,0.25,-0.419354838709677,-0.307692307692308
"V13","Star Wars: Episode V - The Empire Strikes Back",-0.223880597014925,-0.604166666666667,-0.149425287356322,-0.138888888888889,-0.652173913043478,-0.48314606741573,-0.301587301587302,-0.213114754098361,-0.435294117647059,-0.173913043478261,0.0114942528735632,-0.536842105263158,-0.358974358974359,-0.208333333333333,-0.235955056179775,-0.431578947368421,-0.223880597014925,-0.6,-0.551020408163265,-0.305555555555556
"V14","The Matrix",-0.107142857142857,-0.490909090909091,-0.102040816326531,-0.377049180327869,-0.26530612244898,-0.04,-0.113636363636364,-0.245901639344262,-0.168316831683168,-0.0789473684210526,0.148936170212766,-0.354838709677419,-0.52,-0.5625,-0.5,-0.343283582089552,-0.490196078431373,-0.433333333333333,-0.558441558441558,-0.309090909090909
"V15","The Lord of the Rings: The Two Towers",-0.672727272727273,-0.418181818181818,-0.35593220338983,-0.192982456140351,-0.0684931506849315,-0.488372093023256,-0.130434782608696,-0.358490566037736,-0.363636363636364,-0.21875,-0.380952380952381,-0.0204081632653061,-0.357142857142857,-0.254237288135593,0.222222222222222,0,-0.152542372881356,-0.288888888888889,-0.392857142857143,-0.105882352941176
"V16","It's a Wonderful Life",0.0810810810810811,-0.45945945945946,0.164179104477612,0.361702127659574,-0.1,0.170731707317073,0.380952380952381,0.292682926829268,0.0746268656716418,0.4,0.275,-0.0943396226415094,0.128205128205128,-0.164835164835165,-0.283950617283951,-0.0909090909090909,0.111111111111111,-0.0704225352112676,-0.185185185185185,0.486486486486487
"V17","Star Wars",-0.487603305785124,-0.213675213675214,-0.406779661016949,0.0721649484536082,-0.238095238095238,-0.372881355932203,-0.242718446601942,-0.105882352941176,-0.217391304347826,-0.170731707317073,-0.262135922330097,-0.307692307692308,-0.318681318681319,-0.2,0.087378640776699,-0.475728155339806,-0.426086956521739,0,-0.621621621621622,-0.274725274725275
"V18","The Silence of the Lambs",0.0526315789473684,0.0476190476190476,-0.195121951219512,-0.358024691358025,-0.2,0.072463768115942,-0.0263157894736842,0.113924050632911,-0.170731707317073,-0.0263157894736842,-0.0786516853932584,-0.386666666666667,-0.228571428571429,-0.23943661971831,-0.315068493150685,-0.216494845360825,-0.333333333333333,-0.12,-0.382352941176471,-0.0619469026548673
"V19","Se7en",-0.553398058252427,-0.204081632653061,-0.296296296296296,-0.326315789473684,-0.230769230769231,0.0638297872340425,0.0212765957446809,0.106382978723404,0.037037037037037,-0.270588235294118,-0.354838709677419,-0.216216216216216,-0.35,-0.25,-0.4,-0.032967032967033,-0.0975609756097561,-0.105882352941176,-0.452631578947368,-0.388235294117647
"V20","The Green Mile",-0.368421052631579,-0.380530973451327,-0.256637168141593,-0.188118811881188,-0.482758620689655,-0.134615384615385,-0.204819277108434,-0.314814814814815,0.0091743119266055,-0.235294117647059,-0.226415094339623,-0.195652173913043,-0.575221238938053,-0.277310924369748,-0.38,-0.175257731958763,-0.321100917431193,-0.300970873786408,-0.28,-0.350649350649351
"V21","Saving Private Ryan",-0.0769230769230769,-0.2,-0.269230769230769,-0.0175438596491228,0.12280701754386,-0.125,0.234042553191489,-0.0666666666666667,-0.0606060606060606,-0.0344827586206897,-0.0909090909090909,-0.311475409836066,-0.451612903225806,-0.194444444444444,-0.0769230769230769,-0.137931034482759,-0.254237288135593,-0.0434782608695652,-0.0140845070422535,-0.323529411764706
"V22","Interstellar",-0.0833333333333333,-0.0666666666666667,-0.0212765957446809,-0.278688524590164,0.243243243243243,0.178082191780822,0.132530120481928,0.0352941176470588,-0.261538461538462,0.0967741935483871,-0.242718446601942,-0.169491525423729,-0.0571428571428571,0.0333333333333333,-0.123287671232877,-0.1875,-0.0447761194029851,0.194029850746269,-0.373493975903614,0.0602409638554217
"V23","Psycho",-0.0566037735849057,0.135135135135135,-0.253731343283582,0.0645161290322581,-0.132530120481928,-0.131578947368421,-0.18,-0.388235294117647,-0.435897435897436,-0.0277777777777778,-0.166666666666667,-0.0606060606060606,-0.324324324324324,-0.189189189189189,-0.123287671232877,0.245901639344262,0.11864406779661,0.032258064516129,-0.47945205479452,-0.226666666666667
"V24","Terminator 2: Judgment Day",-0.376344086021505,-0.107438016528926,-0.227272727272727,-0.108433734939759,-0.195876288659794,0,-0.119047619047619,-0.288888888888889,-0.148936170212766,-0.225225225225225,-0.0851063829787234,-0.0526315789473684,-0.208333333333333,-0.355555555555556,0,-0.117647058823529,-0.452380952380952,-0.30952380952381,-0.604395604395604,-0.260869565217391
"V25","The Usual Suspects",-0.523809523809524,0.126436781609195,-0.168831168831169,-0.254237288135593,-0.278688524590164,-0.0847457627118644,-0.0384615384615385,-0.135135135135135,-0.413793103448276,-0.0422535211267606,-0.416666666666667,-0.0980392156862745,-0.111111111111111,-0.387096774193548,-0.481481481481481,-0.163636363636364,-0.333333333333333,-0.272727272727273,-0.072463768115942,-0.333333333333333
"V26","American History X",-0.2,-0.3125,-0.368421052631579,-0.4,-0.357142857142857,0.04,-0.186440677966102,-0.230769230769231,-0.257142857142857,-0.4,-0.368421052631579,-0.473684210526316,-0.297297297297297,-0.365853658536585,-0.2,-0.24,0.0909090909090909,-0.185185185185185,-0.142857142857143,-0.52
"V27","Gladiator",-0.09375,-0.27710843373494,-0.0105263157894737,-0.0909090909090909,-0.361111111111111,-0.265822784810127,-0.447368421052632,-0.188405797101449,0.146067415730337,0.0447761194029851,-0.0384615384615385,0,0.0144927536231884,-0.176470588235294,-0.087719298245614,-0.154639175257732,-0.148936170212766,-0.185185185185185,0.0566037735849057,-0.0344827586206897
"V28","The Pianist",-0.290322580645161,0.52,-0.555555555555556,-0.26027397260274,-0.25,-0.344262295081967,-0.547169811320755,-0.230769230769231,-0.493333333333333,-0.294117647058824,-0.0508474576271186,-0.471698113207547,-0.206896551724138,-0.256410256410256,-0.714285714285714,-0.15,-0.565217391304348,-0.689655172413793,-0.391304347826087,-0.254901960784314
"V29","The Departed",0.233333333333333,0.347826086956522,0.230769230769231,-0.118279569892473,-0.17948717948718,0.0444444444444444,-0.157894736842105,-0.0602409638554217,-0.343283582089552,-0.0461538461538462,-0.1,-0.209302325581395,0.114285714285714,0,-0.0384615384615385,-0.11864406779661,-0.5,-0.234042553191489,-0.12280701754386,-0.464788732394366
"V30","The Prestige",-0.373134328358209,-0.188405797101449,0.0352941176470588,0.125,-0.291139240506329,-0.0882352941176471,0.225,0.0123456790123457,0,0.2,0.0232558139534884,-0.0864197530864197,-0.375,0.139240506329114,0.0666666666666667,-0.0476190476190476,-0.194444444444444,-0.397260273972603,-0.48051948051948,-0.3125
"V31","Joker",-0.504761904761905,-0.519230769230769,-0.345794392523364,-0.504587155963303,-0.292035398230089,-0.6,-0.289719626168224,-0.215686274509804,-0.407407407407407,-0.5625,-0.587628865979381,-0.553398058252427,-0.521739130434783,-0.354166666666667,-0.588235294117647,-0.654320987654321,-0.4,-0.247058823529412,-0.419354838709677,-0.568627450980392
"V32","Sunset Blvd.",0.15,0.321428571428571,-0.0740740740740741,-0.264705882352941,0.116883116883117,-0.416666666666667,-0.0476190476190476,0,0.0588235294117647,0.0181818181818182,-0.28,0.087719298245614,0.311475409836066,-0.0434782608695652,0.433333333333333,0.169811320754717,-0.0689655172413793,-0.127272727272727,0.215686274509804,0.0602409638554217
"V33","Rear Window",0.0117647058823529,-0.139784946236559,0.104761904761905,0.184210526315789,0.0344827586206897,-0.204301075268817,-0.40625,-0.169811320754717,-0.31578947368421,-0.236363636363636,-0.0120481927710843,0.0149253731343284,0.176470588235294,-0.136363636363636,-0.113636363636364,-0.117647058823529,-0.241379310344828,-0.513513513513513,-0.411764705882353,-0.373493975903614
"V34","Alien",-0.257142857142857,-0.365853658536585,-0.388888888888889,-0.311475409836066,-0.333333333333333,-0.0508474576271186,-0.164179104477612,-0.368421052631579,-0.4,-0.403508771929825,-0.242424242424242,-0.236842105263158,0.117647058823529,-0.290322580645161,-0.0461538461538462,-0.381818181818182,-0.253731343283582,-0.24,-0.470588235294118,-0.354838709677419
"V35","Apocalypse Now",-0.05,0.0181818181818182,-0.125,-0.139784946236559,0.171428571428571,-0.126760563380282,-0.34375,-0.252525252525253,-0.0909090909090909,0.0447761194029851,-0.0909090909090909,-0.100917431192661,-0.241379310344828,0.147058823529412,-0.0222222222222222,-0.485148514851485,-0.0649350649350649,-0.276190476190476,-0.309090909090909,-0.415730337078652
"V36","The Shining",0.51219512195122,0.2,0.142857142857143,0.653846153846154,0.466666666666667,0.352941176470588,0.302325581395349,0.1,0.219512195121951,-0.111111111111111,-0.333333333333333,0.024390243902439,0.277777777777778,-0.0714285714285714,0.3,-0.483870967741935,-0.238095238095238,-0.733333333333333,-0.333333333333333,-0.636363636363636
"V37","Raiders of the Lost Ark",-0.31578947368421,-0.135135135135135,0,0.232558139534884,-0.169230769230769,-0.0099009900990099,0.0158730158730159,-0.3,-0.563218390804598,-0.2,0.134328358208955,-0.1,-0.0099009900990099,-0.387096774193548,-0.129032258064516,0,-0.0857142857142857,0.038961038961039,-0.333333333333333,0
"V38","Memento",-0.344262295081967,0.0731707317073171,0,-0.148148148148148,0.169811320754717,-0.432835820895522,-0.333333333333333,-0.52,-0.106382978723404,0.127272727272727,-0.152542372881356,-0.460674157303371,-0.27536231884058,-0.19047619047619,-0.261538461538462,-0.315068493150685,-0.193548387096774,-0.396825396825397,-0.168831168831169,0.03125
"V39","Django Unchained",-0.313868613138686,0.116279069767442,0.027027027027027,-0.0327868852459016,-0.557142857142857,0.169491525423729,-0.116666666666667,0.338129496402878,0.265822784810127,0.25,-0.277310924369748,0.0841121495327103,0.203883495145631,0.0534351145038168,0.172413793103448,-0.102803738317757,-0.0909090909090909,-0.175,-0.188679245283019,-0.18
"V40","Coco",0.268292682926829,0.233333333333333,0.230769230769231,0.027027027027027,-0.39622641509434,0.0666666666666667,0,-0.234042553191489,0.317073170731707,0.188405797101449,0.236363636363636,-0.234042553191489,0.255813953488372,0.121951219512195,-0.0980392156862745,0.0181818181818182,0.0588235294117647,-0.306122448979592,-0.0612244897959184,0.344827586206897
"V41","Citizen Kane",0.262135922330097,0.032258064516129,0.0454545454545455,0.0985915492957746,0.0114942528735632,-0.0681818181818182,0.0571428571428571,0.125,0.189189189189189,-0.180722891566265,0.295454545454545,-0.113924050632911,-0.111111111111111,0.142857142857143,-0.0136986301369863,-0.189189189189189,-0.12,0.194444444444444,-0.181818181818182,0.285714285714286
"V42","Double Indemnity",-0.377049180327869,-0.0461538461538462,0.16,0.107692307692308,-0.104477611940299,-0.157894736842105,0.257142857142857,0.172413793103448,0.0819672131147541,-0.291666666666667,-0.137931034482759,-0.384615384615385,-0.194444444444444,-0.333333333333333,-0.492537313432836,0.228571428571429,-0.391304347826087,-0.0181818181818182,-0.205128205128205,-0.3
"V43","2001: A Space Odyssey",-0.36,-0.6,-0.132075471698113,-0.476190476190476,0.17948717948718,0.904761904761905,0.3,0.535714285714286,0.0454545454545455,0.36,-0.222222222222222,0.142857142857143,0.0434782608695652,0.0625,-0.0357142857142857,0.0638297872340425,-0.0625,-0.0256410256410256,0.0476190476190476,0
"V44","Taxi Driver",-0.2,-0.263157894736842,0.192982456140351,-0.107142857142857,0.420289855072464,0.303030303030303,-0.0169491525423729,-0.0689655172413793,-0.0222222222222222,0.224489795918367,-0.111111111111111,-0.384615384615385,-0.444444444444444,-0.032258064516129,-0.032258064516129,0.0181818181818182,-0.012987012987013,-0.0526315789473684,-0.47945205479452,-0.213114754098361
"V45","Star Wars: Episode VI - Return of the Jedi",-0.313432835820896,-0.313725490196078,-0.272727272727273,-0.605263157894737,-0.432432432432432,-0.272727272727273,-0.225806451612903,-0.0989010989010989,-0.238095238095238,-0.307692307692308,-0.306122448979592,-0.215686274509804,-0.04,0.0909090909090909,-0.317073170731707,-0.344262295081967,-0.612903225806452,-0.388888888888889,-0.462686567164179,-0.025
"V46","Scarface",-0.0555555555555556,-0.0549450549450549,-0.161290322580645,-0.0204081632653061,0.0909090909090909,0.0458715596330275,0.243243243243243,-0.0465116279069767,0.0891089108910891,0.119047619047619,0.0833333333333333,-0.0947368421052632,0.03125,0,0.0467289719626168,-0.0434782608695652,-0.304347826086957,-0.298969072164948,-0.3,-0.44578313253012
"V47","Amadeus",-0.325581395348837,0.294117647058824,0.203703703703704,0.525925925925926,0.323076923076923,0.145161290322581,0.145299145299145,-0.0588235294117647,0.265625,-0.0588235294117647,-0.214285714285714,0.433962264150943,0.175438596491228,0.0782608695652174,-0.0847457627118644,-0.079646017699115,-0.211267605633803,0.203125,0.0769230769230769,-0.186991869918699
